"","full_name","total_area","total_income"
"1","Ілько Олександр Васильович",165.4,32695446
"2","Бобов Геннадій Борисович",485,27145644
"3","Москаленко Ярослав Миколайович",385.9,22025611
"4","Герега Олександр Володимирович",1070.8,19155003.65
"5","Миримський Лев Юлійович",366.3,17297520.62
"6","Миримський Лев Юлійович",454.2,17087043
"7","Дубневич Ярослав Васильович",2725.01,16550661
"8","Арбузов Сергій Геннадійович",864.9,16158036
"9","Герега Олександр Володимирович",860.82,15657964
"10","Паракуда Олег Васильович",355,15187483.76
"11","Миримський Лев Юлійович",424.1,14643905.07
"12","Куніцин Сергій Володимирович",398.8,13048234
"13","Андріїв Богдан Євстафійович",169.3,11691759.71
"14","Мошенський Валерій Захарович",1647,11454750
"15","Арбузов Сергій Геннадійович",428.6,11246361
"16","Рябікін Павло Борисович",930.7,10968591
"17","Продивус Володимир Степанович",356.9,10881835
"18","Аркаллаєв Нуруліслам Гаджиєвич",1697.9,10704584
"19","Гусак Володимир Георгійович",448.6,10700705
"20","Калетник Оксана Миколаївна",227.59,9965322.6
"21","Айварас Абромавичус",476,9933383.75
"22","Журжій Андрій Валерійович",533.9,9696503.73
"23","Матвієнков Сергій Анатолійович",291.5,9603862
"24","Онищенко Олександр Романович",454.2,9602465
"25","Данченко Олександр Іванович",254.5,9370560
"26","Тарасюк Валерій Володимирович",613,9322637
"27","Омельянович Денис Сергійович",178.7,9282154
"28","Ложкін Борис Євгенович",494.3,9262386
"29","Макеєнко Володимир Володимирович",1544.5,9248010
"30","Аркаллаєв Нуруліслам Гаджиєвич",1797.9,8979841
"31","Баграєв Микола Георгійович",1119.3,8871517
"32","Макеєнко Володимир Володимирович",1544.5,8765905
"33","Байсаров Леонід Володимирович",517.4,8645004
"34","Присяжнюк Микола Володимирович",742.38,8545284
"35","Мошенський Валерій Захарович",1647,8413061
"36","Чурій Олег Євгенович",152.9,8313035
"37","Гагаркін Михайло Володимирович",183.7,8166030
"38","Палиця Ігор Петрович",550.1,8120770
"39","Мхітарян Нвєр Мнацаканович",4634.42,8094358
"40","Карпунцов Валерій Віталійович",138,8049020.11
"41","Донець Тетяна Анатоліївна",1470.8,8044933
"42","Лебедєв Павло Валентиинович",3892.49,7950024.15
"43","Табачнік Яків Піневич",3441.3,7852462
"44","Мишков Ярослав Євгенович",626.3,7849810
"45","Богомолець Ольга Вадимівна",1487.35,7760429
"46","Сенченко Андрій Віленович",347.2,7665390.23
"47","Корбан Олег Борисович",221.15,7628627.95
"48","Донець Тетяна Анатоліївна",1470.8,7579687
"49","Рябікін Павло Борисович",871.55,7528373
"50","Сотник Олена Сергіївна",384.2,7493253
"51","Клімов Леонід Михайлович",473141.2,7432955
"52","Бриченко Ігор Віталійович",143,7397993
"53","Онищенко Олександр Романович",1514.8,7329975.23
"54","Гриненко Андрій Валерійович",338.8,6974669
"55","Калетник Оксана Миколаївна",227.59,6966112
"56","Мхітарян Нвєр Мнацаканович",4695.82,6942493
"57","Байсаров Леонід Володимирович",517.4,6906496
"58","Валентиров Сергій Васильович",135.4,6704991
"59","Дубневич Богдан Васильович",6939.18,6684676
"60","Кулініч Олег Іванович",1012.5,6627945
"61","Андрієвський Дмитро Йосипович",808.8,6609683
"62","Гудзенко Віталій Іванович",545,6554451
"63","Фурсін Іван Геннадійович",1349.4,6553811.93
"64","Кучер Микола Іванович",112.4,6537071.61
"65","Рябікін Павло Борисович",975.6,6411910
"66","Кацуба Володимир Михайлович",1529,6380343
"67","Міщенко Сергій Григорович",398,6292372.66
"68","Євсіков Олексій Олександрович",288.6,6250890
"69","Слепцов Геннадій Володимирович",579,6184631
"70","Сенченко Андрій Віленович",347.2,5984096
"71","Новинський Вадим Владиславович",1660.7,5974798
"72","Поляков Василь Леонідович",108.7,5858555
"73","Дубневич Богдан Васильович",6814.08,5853535
"74","Повалій Таїсія Миколаївна",328.01,5792752
"75","Резниченко Валентин Михайлович",255.4,5749210
"76","Льовочкіна Юлія Володимирівна",1449.1,5643793
"77","Звягільський Юхим Леонідович",145.3,5616081
"78","Демішкан Володимир Федорович",124,5518817
"79","Полочанінов Володимир Геннадійович",323,5444490
"80","Куровський Іван Іванович",2818,5429216
"81","Дунаєв Сергій Володимирович",1165.6,5353021
"82","Баграєв Микола Георгійович",1421.1,5298694
"83","Мартиняк Сергій Васильович",665.1,5175409
"84","Іванющенко Юрій Володимирович",505.5,5140346
"85","Гонтарева Валерія Олексіївна",356,5087373
"86","Короленко Михайло Костянтинович",300.4,5086199
"87","Развадовський Віктор Йосипович",1504.1,5075908
"88","Іванющенко Юрій Володимирович",270,5060060.93
"89","Дідич Валентин Володимирович",317.8,5015335
"90","Єремеєв Ігор Миронович",604.6,4984939
"91","Ніконов Ігор Володимирович",1785.97,4963351
"92","Насіров Роман Михайлович",571.9,4870104.85
"93","Маркарова Оксана Сергіївна",2794,4869648.21
"94","Богуслаєв Вячеслав Олександрович",475.5,4843938.14
"95","Третьяков Олександр Юрійович",586.1,4827421
"96","Березкін Станіслав Семенович",590,4784422
"97","Шуфрич Нестор Іванович",1684.9,4714045
"98","Шимків Дмитро Анатолійович",600.25,4683066.11
"99","Балога Павло Іванович",638,4628669
"100","Развадовський Віктор Йосипович",1504.1,4618736
"101","Лікарчук Костянтин Ігорович",847.9,4597904
"102","Шаров Ігор Федорович",6364,4523602
"103","Папієв Михайло Миколайович",737,4513224
"104","Табачнік Яків Піневич",3441.3,4491749.13
"105","Богомолець Ольга Вадимівна",1337.37,4469204
"106","Дубневич Ярослав Васильович",2666.96,4437992
"107","Власенко Сергій Володимирович",765,4322696
"108","Бандуров Володимир Володимирович",917.8,4266895.65
"109","Мірошниченко Юрій Романович",398.4,4249170
"110","Денисенко Анатолій Петрович",1191.83,4106043
"111","Семерак Остап Михайлович",388,4088524.86
"112","Литвин Володимир Михайлович",259.8,4068438.29
"113","Мельничук Лариса Юріївна",643,3983749
"114","Омельянович Денис Сергійович",243,3961106
"115","Волков Олександр Михайлович",442.6,3954292
"116","Мельничук Лариса Юріївна",643,3944412
"117","Писарук Олександр Володимирович",326,3883101
"118","Хлицов Петро Володимирович",308.3,3843023
"119","Донець Тетяна Анатоліївна",1541.3,3811277.51
"120","Кондратюк Олена Костянтинівна",165.6,3682452
"121","Кузьменко Максим Андрійович",219.6,3621583.92
"122","Люшняк Микола Володимирович",1442.5,3591516
"123","Кривецький Ігор Ігорович",1404.8,3544154
"124","Волков Олександр Михайлович",442.6,3490395
"125","Богуслаєв Вячеслав Олександрович",475.5,3458406.36
"126","Волков Олександр Михайлович",442.6,3434735
"127","Богуслаєв Вячеслав Олександрович",475.5,3428183
"128","Лабазюк Сергій Петрович",1006.2,3425870
"129","Ничипоренко Валентин Миколайович",292.3,3424719
"130","Євдокимов Володимир Миколайович",340.3,3403546
"131","Ничипоренко Валентин Миколайович",383.6,3402681
"132","Філатов Олексій Валерійович",203,3402241
"133","Путілов Андрій Станіславович",571.3,3368688
"134","Денисенко Анатолій Петрович",1191.83,3365057
"135","Синчук Василь Людвигович",402.3,3326115
"136","Лабунська Анжеліка Вікторівна",1090.7,3321635
"137","Білоус Ігор Олегович",564.1,3321281
"138","Іоффе Юлій Якович",204.9,3318354
"139","Риженков Олександр Миколайович",2827.8,3293701
"140","Шлапак Олександр  Віталійович",1193.6,3257140.22
"141","Ничипоренко Валентин Миколайович",383.6,3228915
"142","Логвинський Георгій Володимирович",257,3221955
"143","Шурма Ігор Михайлович",335,3201275
"144","Бакуліна Світлана Віталіївна",189.9,3183624
"145","Шевченко Ігор Анатолійович",459.1,3176334.43
"146","Кутовий Тарас Вікторович",247.7,3171836
"147","Шаблатович Олег Миколайович",103.7,3073244
"148","Смітюх Григорій Євдокимович",6653,3062757
"149","Турчинов Олександр Валентинович",381.8,3048857
"150","Льовочкіна Юлія Володимирівна",1448.2,3040181
"151","Козаченко Тетяна Анатоліївна",662.1,3026455
"152","Гройсман Володимир Борисович",995,3019306
"153","Бакулін Євген Миколайович",2376.9,2975722.93
"154","Різаненко Павло Олександрович",381.7,2967012
"155","Басараб Сергій Михайлович",1145.8,2948707
"156","Рябікін Павло Борисович",1112.4,2887280
"157","Лабунська Анжеліка Вікторівна",1090.7,2869561
"158","Денісова Людмила Леонтіївна",203,2839596
"159","Качур Роман Павлович",199.5,2835376
"160","Рибалка Сергій Вікторович",356.8,2815488
"161","Литвин Володимир Михайлович",259.8,2761618.61
"162","Єфімов Максим Вікторович",1865.4,2644200.15
"163","Котеляк Лідія Леонідівна",282.4,2616646
"164","Павелко Андрій Васильович",185,2616486
"165","Кулініч Олег Іванович",1012.8,2612388
"166","Яценюк Арсеній Петрович",640,2597436
"167","Боярський Юрій Іванович",179,2552120
"168","Пастух Тарас Тимофійович",150.3,2524563.88
"169","Бондарчук Ігор Володимирович",924.51,2513945.85
