,id,full_name,surname,name,paternal,position,office,region,year,income,income_family,income_salary,income_salary_family,income_teaching,income_teaching_family,income_royalties,income_royalties_family,income_dividents,income_dividents_family,income_help,income_help_family,income_gifts,income_gifts_family,bank_deps,bank_deps_family,flat_area,flat_area_family,house_area,house_area_family,land_area,land_area_family,cars,cars_family,cars_cargo,cars_cargo_family,cars_info,cars_family_info,cars_info_year,cars_family_info_year,off,income_vs_salary,income_vs_family,land_vs_family,flat_vs_family,house_vs_family,cars_vs_family,link,,,name1,,
11379,chesno_2188,Рабінович Вадим Зіновійович,Рабінович,Вадим,Зіновійович,Депутат 8-го скликання,Верховна рада України,Загальнодержавний регіон,2013,"1,000,000.00",252714,0,42714,0,0,0,0,0,0,0,0,0,0,0,0,0,29.67,0,794.8,0,0,2,3,0,0,Mercedes-Benz W140 S600 5987 куб.см;Lexus GX 460 4608 куб.см,Lexus LX 570 5663 куб.см;Lexus LX 470 4664 куб.см;Toyota Land Cruiser 4664 куб.см,1996;2011,2008;2005;2003,парламент,0,0.252714,0,1000000,1000000,1.5,http://declarations.com.ua/declaration/chesno_2188,,,Рабінович,Вадим,Зіновійович
8460,chesno_1880,Пригодський Антон Вікентійович,Пригодський,Антон,Вікентійович,Депутат 7-го скликання,Верховна рада України,Загальнодержавний регіон,2013,"1,000,343.00",0,160790,0,0,0,0,0,618703,0,34850,0,0,0,372832,1760,645,0,429,0,0,0,8,0,0,0,Lexus LS 600 LC 4993 см.куб;Lexus LX 570 5663 см.куб;Bentley Continental 5998 см.куб;BMW E66 5972 см.куб;Chevrolet Express 5300 см.куб;Porsche Cayenne 4511 см.куб;Hummer  6500 см. куб;Land Rover  2498 см.куб,,2008;2008;2005;2004;2004;2004;2000;1997,,парламент,6.221425462,0,0,0,0,0,http://declarations.com.ua/declaration/chesno_1880,,,Пригодський,Антон,Вікентійович
12452,vulyk_4_1_40,Шкляр Сергій Володимирович,Шкляр,Сергій,Володимирович,заступник міністра юстиції україни з питань виконавчої служби,Міністерство юстиції,Загальнодержавний регіон,2014,"1,002,011.00",56050,74551,9806,0,0,0,0,326752,7001,0,12243,0,0,2335,0,264.8,73.1,0,114.9,1449,484,2,1,0,0,Audi Q7;Toyota Camry,Toyota Rav 4;;;;,2014;2009,2013;;;;,юстиція,13.44061113,0.05593750967,0.3340234645,0.2760574018,1000000,0.5,http://declarations.com.ua/declaration/vulyk_4_1_40,,,Шкляр,Сергій,Володимирович
10784,vulyk_1_183,Євдокимов Володимир Миколайович,Євдокимов,Володимир,Миколайович,перший заступник міністра внутрішніх справ україни,Міністерство внутрішніх справ,Загальнодержавний регіон,2013,"1,003,546.00",2400000,823546,0,0,0,0,0,0,0,0,0,0,0,0,0,184.2,156.1,0,0,1200,2000,0,1,0,0,;;;,Toyota Land Cruiser;;;,;;;,2004;;;,міністерство,1.218567026,2.391519671,1.666666667,0.8474484256,0,1000000,http://declarations.com.ua/declaration/vulyk_1_183,,,Євдокимов,Володимир,Миколайович
11430,chesno_2509,Лаврик Олег Васильович,Лаврик,Олег,Васильович,Депутат 8-го скликання,Верховна рада України,Загальнодержавний регіон,2014,"1,004,459.19",69824.98,149542.19,64774.62,0,0,0,0,0,0,0,5050.36,0,0,0,0,117.3,45,0,0,0,0,0,1,0,0,,Fiat Grande Punto 1368 куб.см,,2013,парламент,6.716895011,0.06951499941,0,0.3836317136,0,1000000,http://declarations.com.ua/declaration/chesno_2509,,,Лаврик,Олег,Васильович
2406,vulyk_39_180,Кириленко Віталій Володимирович,Кириленко,Віталій,Володимирович,директор департаменту у справах молоді та спорту харківської обласної державної адмінстрації,Обласна державна адміністрація,Харківська область,2014,"1,012,606.00",968952,59031,0,0,0,0,0,0,0,0,0,0,0,1830,0,68.6,68.3,0,0,0,0,3,1,0,0,Ford Scorpio;Skoda Superb;Toyota Land Cruiser Prado;;;;;;;;;,Subaru Outback;;;;,1989;2003;2014;;;;;;;;;,2011;;;;,адміністрація,17.15380055,0.9568894516,0,0.9956268222,0,0.3333333333,http://declarations.com.ua/declaration/vulyk_39_180,,,Кириленко,Віталій,Володимирович
5558,chesno_2352,Ляшко Олег Валерійович,Ляшко,Олег,Валерійович,Кандидат у президенти,Президент,Загальнодержавний регіон,2014,"1,014,285.60",0,174285.6,0,0,0,0,0,0,0,0,0,0,0,0,0,462.7,20.5,0,0,0,0,2,1,0,0,"Mercedes-Benz  5,5 т. куб. см;Toyota Prado 4 т. куб. см","Mazda СХ-5 2,2 т. куб. см",2006;2004,2014,офіс президента,5.819675292,0,0,0.04430516533,0,0.5,http://declarations.com.ua/declaration/chesno_2352,,,Ляшко,Олег,Валерійович
3155,chesno_2451,Кришин Олег Юрійович,Кришин,Олег,Юрійович,Депутат 8-го скликання,Верховна рада України,Загальнодержавний регіон,2014,"1,018,545.00",58437,67574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.2,0,1417.9,0,0,1,1,0,0,Toyota Camry об'єм цилідрів двигуна -3456 куб.см,Ford Mondeo об'єм цилідрів двигуна -1596 куб.см,2007,2013,парламент,15.07303105,0.05737301739,0,1000000,1000000,1,http://declarations.com.ua/declaration/chesno_2451,,,Кришин,Олег,Юрійович
3431,3160,Алєксєєв Віктор Олексійович,Алєксєєв,Віктор,Олексійович,"Голова суду, суддя",Апеляційний адміністративний суд,Одеська область,2013,"1,030,173.00",13345,315912,0,9450,0,0,0,45095,4445,0,0,0,0,43800,0,0,118.7,0,0,0,0,2,1,0,0,"Volvo,244;Volkswagen,Touareg;","Toyota,FJ Cruiser;;",1980;2013;,2008;;,суд,3.260949252,0.01295413489,0,1000000,0,0.5,http://declarations.com.ua/declaration/3160,,,Алєксєєв,Віктор,Олексійович
12524,vulyk_4_2_28,Ковальчук Андрій Трохимович,Ковальчук,Андрій,Трохимович,перший заступник голови державної служби фінансового моніторингу україни,Державна служба фінансового моніторингу,Загальнодержавний регіон,2014,"1,031,746.64",2039.82,131232.3,2039.82,49923.79,0,0,0,850590.55,0,0,0,0,0,0,0,196.7,65.5,0,0,0,0,1,1,0,0,Nissan X-Trail;;;;,Nissan TIIDA;;;;,2010;;;;,2010;;;;,держслужба,7.861987026,0.001977055142,0,0.3329944077,0,1,http://declarations.com.ua/declaration/vulyk_4_2_28,,,Ковальчук,Андрій,Трохимович
10269,vulyk_33_64,Резнік Руслан Борисович,Резнік,Руслан,Борисович,прокурор м. умань,Прокуратура,Черкаська область,2014,"1,033,491.00",219783,166757,207603,0,0,0,0,0,0,0,12180,0,0,0,0,0,102.2,0,0,25,1620,2,0,0,0,Toyota Land Cruiser;Lexus GX;;,;;;,2012;2007;;,;;;,прокуратура,6.197586908,0.2126607779,64.8,1000000,0,0,http://declarations.com.ua/declaration/vulyk_33_64,,,Резнік,Руслан,Борисович
3179,chesno_2627,Романюк Віктор Миколайович,Романюк,Віктор,Миколайович,Депутат 8-го скликання,Верховна рада України,Загальнодержавний регіон,2014,"1,042,389.00",25709,6719,25709,0,0,0,0,42200,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,,,,,парламент,155.1404971,0.02466353732,0,1000000,0,0,http://declarations.com.ua/declaration/chesno_2627,,,Романюк,Віктор,Миколайович
6101,3563,Кафідова Олена Василівна,Кафідова,Олена,Василівна,Суддя,Вищий спеціалізований суд з розгляду цивільних і кримінальних справ,Загальнодержавний регіон,2013,"1,051,798.00",92000,286892,92000,0,0,0,0,4579,0,0,0,692,0,124000,0,78,82,0,0,0,0,1,2,0,0,"Jeep,Wrangler;;","Peugeot,206;Nissan;",2012;;,2007;2007;,суд,3.666181002,0.08746926691,0,1.051282051,0,2,http://declarations.com.ua/declaration/3563,,,Кафідова,Олена,Василівна
11172,chesno_1023,Кубів Степан Іванович,Кубів,Степан,Іванович,Депутат 7-го скликання,Верховна рада України,Загальнодержавний регіон,2013,"1,051,991.00",212337,240185,0,6192,0,0,0,0,0,0,0,0,0,80300,0,0,378,0,0,0,0,1,1,0,0,Audi Q5 1984 см3,"Toyota Corolla 1598 см3, 91 кВт, 454,5 см",2012,,парламент,4.379919645,0.2018429815,0,1000000,0,1,http://declarations.com.ua/declaration/chesno_1023,,,Кубів,Степан,Іванович
11993,vulyk_4_144,Добрянський Ярослав Вікторович,Добрянський,Ярослав,Вікторович,перший заступник голови київської обласної ради,Київська обласна Рада,Київська область,2014,"1,052,285.35",150000,152285.35,0,0,0,0,0,0,150000,0,0,0,0,0,0,91.7,39.03,0,498.8,800,850,2,1,0,0,Smart Fortwo;Mercedes-Benz G 500;,BMW X6;;,2005;2002;,2012;;,облрада,6.909957852,0.1425468862,1.0625,0.4256270447,1000000,0.5,http://declarations.com.ua/declaration/vulyk_4_144,,,Добрянський,Ярослав,Вікторович
8736,chesno_2646,Підлісецький Лев Теофілович,Підлісецький,Лев,Теофілович,Депутат 8-го скликання,Верховна рада України,Загальнодержавний регіон,2013,"1,052,901.68",9000,76956.68,9000,0,0,0,0,0,0,0,0,0,0,0,30282,92.1,0,383.3,0,0,0,0,0,0,0,,,,,парламент,13.68174511,0.008547806667,0,0,0,0,http://declarations.com.ua/declaration/chesno_2646,,,Підлісецький,Лев,Теофілович
1211,vulyk_9_27,Шандра Володимир Миколайович,Шандра,Володимир,Миколайович,голова київської обласної державної адмінстрації,Обласна державна адміністрація,Київська область,2014,"1,053,830.00",83039,82472,72000,0,0,226382,0,6352,11039,0,0,0,0,257193,0,191.8,0,0,0,0,0,0,0,0,0,;;;;,;;;,;;;;,;;;,адміністрація,12.77803376,0.07879733923,0,0,0,0,http://declarations.com.ua/declaration/vulyk_9_27,,,Шандра,Володимир,Миколайович
5665,chesno_1944,Крук Юрій Борисович,Крук,Юрій,Борисович,Депутат 7-го скликання,Верховна рада України,Загальнодержавний регіон,2013,"1,057,727.00",151986,240473,51780,0,0,0,0,150000,0,35338,0,0,0,0,0,516.6,0,0,0,0,0,1,1,0,0,Lexus LX 570 5700 куб.см,Mercedes-Benz S550 4663 куб.см,2013,,парламент,4.39852707,0.1436911415,0,0,0,1,http://declarations.com.ua/declaration/chesno_1944,,,Крук,Юрій,Борисович
5645,chesno_1952,Бойко Володимир Семенович,Бойко,Володимир,Семенович,Депутат 7-го скликання,Верховна рада України,Загальнодержавний регіон,2013,"1,058,059.00",0,232741,0,0,0,0,0,627010,0,35338,0,0,0,11200000,198897,86.8,0,0,0,0,0,1,0,0,0,"Toyota Venza 2672 куб.см, 136 кВт, 483.5 см",,2013,,парламент,4.546079118,0,0,0,0,0,http://declarations.com.ua/declaration/chesno_1952,,,Бойко,Володимир,Семенович
5649,chesno_2556,Зубик Володимир Володимирович,Зубик,Володимир,Володимирович,Депутат 7-го скликання,Верховна рада України,Загальнодержавний регіон,2014,"1,058,456.00",0,130127,0,0,0,0,0,0,0,0,0,0,0,539276,0,116.95,451.2,859.5,85.5,0,0,3,1,0,0,"BMW 750Li 4395 куб.см, 5054;Mercedes-Benz  4973 куб.см, 5158;Mercedes-Benz Vitto 3200","Lexus RX 3500 куб.см, 4770",2011;2003;2012,2010,парламент,8.134022916,0,0,3.858059,0.09947643979,0.3333333333,http://declarations.com.ua/declaration/chesno_2556,,,Зубик,Володимир,Володимирович
8011,vulyk_1_1867,Зубко Геннадій Григорович,Зубко,Геннадій,Григорович,"віце-прем'єр-міністр - міністр регіонального розвитку, будівництва та житлово-комунального господарства україни","Міністерство регіонального розвитку, будівництва та житлово-комунального господарства",Загальнодержавний регіон,2014,"1,059,530.57",53786.18,163530.57,53786.18,896000,0,0,0,0,0,0,0,0,0,0,0,87.28,87.28,220.9,0,2000,2500,1,1,0,0,ВАЗ 2109;;;;;,Toyota RAV-4;;,1989;;;;;,2006;;,міністерство,6.479097884,0.05076416058,1.25,1,0,1,http://declarations.com.ua/declaration/vulyk_1_1867,,,Зубко,Геннадій,Григорович
524,chesno_1460,Діденко Ігор Анатолійович,Діденко,Ігор,Анатолійович,Депутат 8-го скликання,Верховна рада України,Загальнодержавний регіон,2013,"1,065,756.62",0,85584.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,парламент,12.45261283,0,0,0,0,0,http://declarations.com.ua/declaration/chesno_1460,,,Діденко,Ігор,Анатолійович
11390,chesno_2483,Скуратовський Сергій Іванович,Скуратовський,Сергій,Іванович,Депутат 8-го скликання,Верховна рада України,Загальнодержавний регіон,2014,"1,067,142.25",626433.33,27750.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,139,0,0,0,2,1,0,0,Mercedes-Benz Viano дв. 2143 куб.см;Land Rover Discovery дв. 2720 куб.см,"Porsche Cayenne універсал, двиг. 3598 куб.см",2013;2007,2012,парламент,38.4548837,0.5870195187,0,1000000,0,0.5,http://declarations.com.ua/declaration/chesno_2483,,,Скуратовський,Сергій,Іванович
8698,641,Зубко Геннадій Григорович,Зубко,Геннадій,Григорович,"Віце-прем’єр міністр - міністр регіонального розвитку, будівництва та житлово-комунального господарства України","Міністерство регіонального розвитку, будівництва та житлово-комунального господарства",Загальнодержавний регіон,2013,"1,071,027.00",62982,239027,54000,832000,0,0,0,0,0,0,0,0,0,0,0,85,85,0,0,0,0,1,1,0,0,"ВАЗ,2109;;","Toyota,RAV4;;",1989;;,2006;;,міністерство,4.480778322,0.0588052402,0,1,0,1,http://declarations.com.ua/declaration/641,,,Зубко,Геннадій,Григорович
3026,chesno_54,Турчинов Олександр Валентинович,Турчинов,Олександр,Валентинович,Депутат 7-го скликання,Верховна рада України,Загальнодержавний регіон,2011,"1,079,658.00",82312,144000,50060,0,0,0,0,935658,32252,0,0,0,0,530942,0,0,473.5,0,0,0,0,0,0,0,0,,,,,парламент,7.497625,0.07623895715,0,1000000,0,0,http://declarations.com.ua/declaration/chesno_54,,,Турчинов,Олександр,Валентинович
11318,chesno_2102,Вілкул Олександр Юрійович,Вілкул,Олександр,Юрійович,Депутат 8-го скликання,Верховна рада України,Загальнодержавний регіон,2013,"1,084,369.00",2545936,337573,584101,0,0,0,0,722346,1961835,0,0,0,0,30435670,0,0,62.1,0,0,0,0,1,1,0,0,"Chevrolet Express 5300 куб.см, 228 кВт, 5690 см","Volkswagen Multivan 1968 куб.см, 132 кВт, 4892 см",2008,2011,парламент,3.212250387,2.347850224,0,1000000,0,1,http://declarations.com.ua/declaration/chesno_2102,,,Вілкул,Олександр,Юрійович
8538,chesno_651,Міщенко Сергій Григорович,Міщенко,Сергій,Григорович,Депутат 7-го скликання,Верховна рада України,Загальнодержавний регіон,2013,"1,085,990.00",37439,250097,36107,0,0,0,0,799,1332,35094,0,0,0,32377,0,81.4,0,423.9,0,0,0,0,1,0,0,,"Suzuki Grand Vitara 2000 куб. см, 103 кВт",,2006,парламент,4.342275197,0.03447453476,0,0,0,1000000,http://declarations.com.ua/declaration/chesno_651,,,Міщенко,Сергій,Григорович
5713,chesno_412,Мураєв Євгеній Володимирович,Мураєв,Євгеній,Володимирович,Депутат 7-го скликання,Верховна рада України,Загальнодержавний регіон,2011,"1,091,995.00",140331,43079,15331,0,0,0,0,378360,0,4575,0,0,0,0,0,170.5,0,0,0,0,0,1,1,0,0,"Mercedes-Benz S 500 L 4 matic 5461 см3, 289 кВт","BMW X6 XDRIVE 351/E71 2979 см3, 225 кВт",2007,2011,парламент,25.34866176,0.1285088302,0,0,0,1,http://declarations.com.ua/declaration/chesno_412,,,Мураєв,Євгеній,Володимирович
8317,chesno_907,Дубневич Ярослав Васильович,Дубневич,Ярослав,Васильович,Депутат 7-го скликання,Верховна рада України,Загальнодержавний регіон,2013,"1,095,204.00",3342788,206860,1205255,0,0,0,0,28996,42541,0,0,0,0,966044,1778379,285.76,1223.9,808.5,348.8,0,0,0,0,0,0,,,,,парламент,5.294421348,3.052205799,0,4.282964726,0.4314162028,0,http://declarations.com.ua/declaration/chesno_907,,,Дубневич,Ярослав,Васильович
11077,chesno_2065,Шлапак Олександр  Віталійович,Шлапак,Олександр,Віталійович,міністр фінансів,Кабінет міністрів,Загальнодержавний регіон,2013,"1,097,140.22",2160000,282676.22,0,0,0,0,0,374464,2160000,0,0,0,0,26640000,0,199.6,270,0,724,0,0,1,2,0,0,Lexus LS 600h 4969 куб.см,Volvo XC 60 2400 куб.см;Lexus RX 570 5663 куб.см,2012,2012;2010,кабмін,3.881261112,1.968754732,0,1.352705411,1000000,2,http://declarations.com.ua/declaration/chesno_2065,,,Шлапак,Олександр,Віталійович
2971,chesno_361,Іоффе Юлій Якович,Іоффе,Юлій,Якович,Депутат 7-го скликання,Верховна рада України,Загальнодержавний регіон,2011,"1,100,852.00",2217502,601198,0,0,0,0,0,310054,429702,0,0,0,0,5116927,0,204.9,0,0,0,0,0,1,0,0,0,Hyundai XG 3497 см3,,2004,,парламент,1.831097243,2.014350703,0,0,0,0,http://declarations.com.ua/declaration/chesno_361,,,Іоффе,Юлій,Якович
6517,vulyk_7_6,Ніконов Ігор Володимирович,Ніконов,Ігор,Володимирович,перший заступник голови київської міської державної адмінстрації,Київська міська державна адміністрація,м. Київ,2014,"1,105,612.00",3857739,28125,19948,0,0,0,0,0,0,0,0,0,0,2744998,795585,368.1,226.47,1191.4,0,2360,0,0,5,0,0,;;;;,Mercedes-Benz G500;Maybach 57;Mercedes-Benz GL-63AMG;Ford Transit;Honda CR-V,;;;;,2010;2007;2008;2012;2012,адміністрація,39.31064889,3.489234017,0,0.6152404238,0,1000000,http://declarations.com.ua/declaration/vulyk_7_6,,,Ніконов,Ігор,Володимирович
