"","headline","url","date_time"
"1","Націоналісти облили кров'ю вхід у будівлю НАБУ: фото","https://ua-news.liga.net/cryminal/news/natsionalisti-oblili-krovyu-vhid-u-budivlyu-nabu-foto","2019-03-12 18:18:17"
"2","В Одесі вітром здуло в море візочок з дитиною: відео","https://ua-news.liga.net/cryminal/news/v-odesi-vitrom-zdulo-v-more-vizochok-z-ditinoyu-video","2019-03-12 18:07:04"
"3","США: Психіатрична експертиза порушує права українських моряків","https://ua-news.liga.net/politics/news/ssha-psihiatrichna-ekspertiza-porushue-prava-ukrainskih-moryakiv","2019-03-12 17:42:32"
"4","Російські спецслужби готуються до кібератаки на виборах - ІС","https://ua-news.liga.net/politics/news/rosiyski-spetsslujbi-gotuyutsya-do-kiberataki-na-viborah---is","2019-03-12 17:12:25"
"5","У Раді Європи закликали Раду відкласти мовний закон","https://ua-news.liga.net/politics/news/u-radi-evropi-zaklikali-radu-vidklasti-movniy-zakon","2019-03-12 16:36:22"
"6","Європарламент: Росія більше не стратегічний партнер","https://ua-news.liga.net/world/news/evroparlament-rosiya-bilshe-ne-strategichniy-partner","2019-03-12 16:06:46"
"7","У Києві обстріляли будівлю суду: фото","https://ua-news.liga.net/kiev/news/u-kievi-obstrilyali-budivlyu-sudu-foto","2019-03-12 15:46:38"
"8","Порошенко про заступника секретаря РНБО: Бездоганна репутація","https://ua-news.liga.net/politics/news/poroshenko-pro-zastupnika-sekretarya-rnbo-bezdoganna-reputatsiya","2019-03-12 15:41:17"
"9","Сергій Кривонос став заступником Турчинова","https://ua-news.liga.net/politics/news/sergiy-krivonos-stav-zastupnikom-turchinova","2019-03-12 14:20:02"
"10","У Порошенка викрили фейк, як він ""тікав від людей"": фото","https://ua-news.liga.net/politics/news/u-poroshenka-vikrili-feyk-yak-vin-tikav-vid-lyudey-foto","2019-03-12 14:09:28"
"11","Євробачення-2019: Maruv заявила, що вболіватиме за Росію","https://ua-news.liga.net/culture/news/evrobachennya-2019-maruv-zayavila-scho-vbolivatime-za-rosiyu","2019-03-12 13:54:41"
"12","Соціологи пояснили, як змінилися відносини українців і росіян","https://ua-news.liga.net/politics/news/sotsiologi-poyasnili-yak-zminilisya-vidnosini-ukraintsiv-i-rosiyan","2019-03-12 13:13:00"
"13","У Раді включили аудіо розмови ""Тимошенко з Коломойським"": відео","https://ua-news.liga.net/politics/video/u-radi-vklyuchili-audio-rozmovi-timoshenko-z-kolomoyskim-video","2019-03-12 13:02:12"
"14","У Харкові на парковці невідомі стріляли в чоловіка - поліція","https://ua-news.liga.net/cryminal/news/u-harkovi-na-parkovtsi-nevidomi-strilyali-v-cholovika---politsiya","2019-03-12 12:06:08"
"15","""Забула дитину"": літак повернувся в аеропорт через пасажирку","https://ua-news.liga.net/world/news/zabula-ditinu-litak-povernuvsya-v-aeroport-cherez-pasajirku","2019-03-12 11:50:44"
"16","У Лаврова розкритикували Україну за припинення ""дружби"" з РФ","https://ua-news.liga.net/politics/news/u-lavrova-rozkritikuvali-ukrainu-za-pripinennya-drujbi-z-rf","2019-03-12 11:11:23"
"17","Найстаршою жителькою Землі стала 116-річна японка: фото","https://ua-news.liga.net/world/news/naystarshoyu-jitelkoyu-zemli-stala-116-richna-yaponka-foto","2019-03-12 10:51:44"
